events_id,event,dtstart,dtend,venue,address,town,area,area_wiki,country,country_wiki,latitude,longitude
https://thesession.org/events/9287,Day of Uilleann Piping,2023-06-25 14:00:00,2023-06-25 14:00:00,The Merry Monk,Killala Road,Ballinagh,Mayo,https://www.wikidata.org/wiki/Q2596195,Republic of Ireland,https://www.wikidata.org/wiki/Q27,54.12960052,-9.16473770
https://thesession.org/events/9292,Gatehouse In Concert - UK Tour,2023-06-25 20:00:00,2023-06-25 20:00:00,Performing Arts Centre,8 Steeple Square,Kilbarchan,Renfrewshire,https://www.wikidata.org/wiki/Q211091,Scotland,https://www.wikidata.org/wiki/Q22,55.83611679,-4.55327082
https://thesession.org/events/8996,Acadia Festival of Traditional Music & Dance,2023-06-26 00:00:00,2023-07-02 00:00:00,College Of The Atlantic,105 Eden Street,Bar Harbor,Maine,https://www.wikidata.org/wiki/Q724,United States of America,https://www.wikidata.org/wiki/Q30,44.39469528,-68.22238922
https://thesession.org/events/9293,Gatehouse In Concert - UK Tour,2023-06-26 20:00:00,2023-06-26 20:00:00,Traverse Theatre,10 Cambridge Street,Edinburgh,Lothian,https://www.wikidata.org/wiki/Q6684756,Scotland,https://www.wikidata.org/wiki/Q22,55.94764709,-3.20487952
https://thesession.org/events/9294,Gatehouse In Concert - UK Tour,2023-06-28 20:00:00,2023-06-28 20:00:00,Green Note,106 Parkway,Camden,London,https://www.wikidata.org/wiki/Q84,England,https://www.wikidata.org/wiki/Q21,51.53726578,-0.14589660
https://thesession.org/events/9288,Comhaltas Ceoltóirí Éireann (CCÉ) 50th Anniversary ​North American Convention,2023-06-29 20:00:00,2023-07-02 16:30:00,Bethesda North Marriott Hotel & Conference Center,5701 Marinelli Rd,North Bethesda,Maryland,https://www.wikidata.org/wiki/Q1391,United States of America,https://www.wikidata.org/wiki/Q30,39.04712296,-77.11582184
https://thesession.org/events/9295,Gatehouse In Concert - UK Tour,2023-06-29 20:00:00,2023-06-29 20:00:00,Brown Street,29A Brown Street,Harare,Wiltshire,https://www.wikidata.org/wiki/Q55448990,England,https://www.wikidata.org/wiki/Q21,51.06818771,-1.79230070
https://thesession.org/events/9284,Irish Hooley,2023-06-30 19:00:00,2023-06-30 19:00:00,Islington Assembly Hall,Upper Street,Islington,London,https://www.wikidata.org/wiki/Q84,England,https://www.wikidata.org/wiki/Q21,51.53791428,-0.10262115
https://thesession.org/events/9296,Gatehouse In Concert At Gate To Southwell International Festival,2023-06-30 20:00:00,2023-06-30 20:00:00,Rose Cottage,Normanton Road,Southwell,Nottinghamshire,https://www.wikidata.org/wiki/Q23092,England,https://www.wikidata.org/wiki/Q21,53.08243179,-0.94613522
https://thesession.org/events/9142,Scoil Samhraidh Willie Clancy 2023,2023-07-01 00:00:00,2023-07-09 00:00:00,Various Venues,,Milltown Malbay,County Clare,https://www.wikidata.org/wiki/Q181862,Republic of Ireland,https://www.wikidata.org/wiki/Q27,52.85620117,-9.40077591
https://thesession.org/events/9297,Gatehouse In Concert - Exile Music Festival Derbyshire,2023-07-01 20:00:00,2023-07-01 20:00:00,Sabine Hay,Oldfield Lane,Darley Dale,Derbyshire,https://www.wikidata.org/wiki/Q23098,England,https://www.wikidata.org/wiki/Q21,53.15499115,-1.60471153
https://thesession.org/events/9257,House Session in the Garden,2023-07-02 16:00:00,2023-07-02 20:00:00,Private Residence,"2 Walker Lane, Richmond Town",Bengaluru,Karnataka,https://www.wikidata.org/wiki/Q1185,India,https://www.wikidata.org/wiki/Q668,12.96002579,77.60251617
https://thesession.org/events/9112,Leinster Fleadh 2023,2023-07-03 00:00:00,2023-07-09 00:00:00,Technical University Dublin,Grangegorman Lower,Grangegorman,Dublin,https://www.wikidata.org/wiki/Q1761,Republic of Ireland,https://www.wikidata.org/wiki/Q27,53.35081863,-6.27962255
https://thesession.org/events/9303,Session with the Pipers,2023-07-04 21:30:00,2023-07-04 21:30:00,The Cobblestone Bar,77 North King Street,Dublin,Dublin,https://www.wikidata.org/wiki/Q1761,Republic of Ireland,https://www.wikidata.org/wiki/Q27,53.34980774,-6.27783632
https://thesession.org/events/9289,Irish Folk Summer,2023-07-05 19:00:00,2023-07-05 22:00:00,DelikArt Restaurant,Colmantstr. 16,Bonn,North Rhine-Westphalia,https://www.wikidata.org/wiki/Q1198,Germany,https://www.wikidata.org/wiki/Q183,50.73184967,7.09276628
https://thesession.org/events/9248,A sziget zenéje – ír hétvége,2023-07-07 00:00:00,2023-07-09 00:00:00,Orfűi Malmok,Füzes Antal Sétány 3,Orfű,Baranya County,https://www.wikidata.org/wiki/Q186195,Hungary,https://www.wikidata.org/wiki/Q28,46.14146805,18.16030693
https://thesession.org/events/9329,Session with Caitlin Finley and Will Woodson,2023-07-07 17:00:00,2023-07-07 20:00:00,Maine Irish Heritage Center,34 Gray St,Portland,Maine,https://www.wikidata.org/wiki/Q724,United States of America,https://www.wikidata.org/wiki/Q30,43.65047073,-70.26268768
https://thesession.org/events/8254,Fiddle workshop with Ben Paley,2023-07-08 10:45:00,2023-07-08 16:45:00,The Elephant & Castle,White Hill,Lewes,East Sussex,https://www.wikidata.org/wiki/Q23293,England,https://www.wikidata.org/wiki/Q21,50.87474823,0.00833260
https://thesession.org/events/9314,South Sligo Summer School,2023-07-09 00:00:00,2023-07-15 00:00:00,Various Venues,,Tubbercurry,County Sligo,https://www.wikidata.org/wiki/Q179325,Republic of Ireland,https://www.wikidata.org/wiki/Q27,54.05522537,-8.72982407
https://thesession.org/events/9311,Ceol na Coille Summer School & Trad Camp,2023-07-10 00:00:00,2023-07-14 00:00:00,Coláiste Ailigh,Knocknamona,Letterkenny,County Donegal,https://www.wikidata.org/wiki/Q179424,Republic of Ireland,https://www.wikidata.org/wiki/Q27,54.96363831,-7.72681713
https://thesession.org/events/9341,Cleveland Irish Cultural Festival Trad Sessions,2023-07-14 17:00:00,2023-07-16 20:00:00,Cuyahoga County Fairgrounds,"164 Eastland Rd, Berea",Cleveland,Ohio,https://www.wikidata.org/wiki/Q1397,United States of America,https://www.wikidata.org/wiki/Q30,41.36582947,-81.84394073
https://thesession.org/events/9342,"The Campbells – A Celebration + Brìghde Chaimbeul, Aidan O’Rourke & Saileog Ní Cheannabháin",2023-07-14 20:00:00,2023-07-14 20:00:00,An Grianán,"Port Road, Gortlee",Letterkenny,County Donegal,https://www.wikidata.org/wiki/Q179424,Republic of Ireland,https://www.wikidata.org/wiki/Q27,54.95333481,-7.73164892
https://thesession.org/events/9305,Joe Mooney Summer School,2023-07-15 00:00:00,2023-07-22 00:00:00,Various Venues,,Drumshanbo,County Leitrim,https://www.wikidata.org/wiki/Q107397,Republic of Ireland,https://www.wikidata.org/wiki/Q27,54.04780197,-8.04002380
