musical_work_id,sacred_or_secular,source_id,contribution_id,VIAF ID,genre_style_@id,genre_style,genre_type,genre_type_@id,url_to_file,contributor_role,contributor_role_@id,source_instantiation_portion,source_title,source_type,source_url,file_type,file_format,file_format_@id,musical_work_variant_titles,file_version,contributor_name,contributor_name_@id
4.0,False,6.0,8.0,2714432.0,https://www.wikidata.org/wiki/Q4692,Renaissance,Madrigal,https://www.wikidata.org/wiki/Q193217,https://db.simssa.ca/files/16,AUTHOR,https://www.wikidata.org/wiki/Q482980,4.0,"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",DIGITAL,,sym,sibelius,https://www.wikidata.org/wiki/Q27967347,['Son io donna qual mostri ogni tuo bene'],,Lorenzo Strozzi,https://www.wikidata.org/wiki/Q61131269
4.0,False,6.0,8.0,2714432.0,https://www.wikidata.org/wiki/Q4692,Renaissance,Madrigal,https://www.wikidata.org/wiki/Q193217,https://db.simssa.ca/files/13,AUTHOR,https://www.wikidata.org/wiki/Q482980,4.0,"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",DIGITAL,,sym,xml,https://www.wikidata.org/wiki/Q2115,['Son io donna qual mostri ogni tuo bene'],,Lorenzo Strozzi,https://www.wikidata.org/wiki/Q61131269
5.0,False,7.0,9.0,76504834.0,https://www.wikidata.org/wiki/Q4692,Renaissance,Madrigal,https://www.wikidata.org/wiki/Q193217,https://db.simssa.ca/files/18,COMPOSER,https://www.wikidata.org/wiki/Q36834,5.0,"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",DIGITAL,,sym,midi,https://www.wikidata.org/wiki/Q10610388,['Son io donna (2) qual mostri ogni tuo bene'],,Bernardo Pisano,https://www.wikidata.org/wiki/Q2920493
5.0,False,7.0,9.0,76504834.0,https://www.wikidata.org/wiki/Q4692,Renaissance,Madrigal,https://www.wikidata.org/wiki/Q193217,https://db.simssa.ca/files/19,COMPOSER,https://www.wikidata.org/wiki/Q36834,5.0,"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",DIGITAL,,sym,pdf,https://www.wikidata.org/wiki/Q42332,['Son io donna (2) qual mostri ogni tuo bene'],,Bernardo Pisano,https://www.wikidata.org/wiki/Q2920493
5.0,False,7.0,9.0,76504834.0,https://www.wikidata.org/wiki/Q4692,Renaissance,Madrigal,https://www.wikidata.org/wiki/Q193217,https://db.simssa.ca/files/20,COMPOSER,https://www.wikidata.org/wiki/Q36834,5.0,"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",DIGITAL,,sym,sibelius,https://www.wikidata.org/wiki/Q27967347,['Son io donna (2) qual mostri ogni tuo bene'],,Bernardo Pisano,https://www.wikidata.org/wiki/Q2920493
5.0,False,7.0,9.0,76504834.0,https://www.wikidata.org/wiki/Q4692,Renaissance,Madrigal,https://www.wikidata.org/wiki/Q193217,https://db.simssa.ca/files/17,COMPOSER,https://www.wikidata.org/wiki/Q36834,5.0,"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",DIGITAL,,sym,xml,https://www.wikidata.org/wiki/Q2115,['Son io donna (2) qual mostri ogni tuo bene'],,Bernardo Pisano,https://www.wikidata.org/wiki/Q2920493
5.0,False,7.0,10.0,2714432.0,https://www.wikidata.org/wiki/Q4692,Renaissance,Madrigal,https://www.wikidata.org/wiki/Q193217,https://db.simssa.ca/files/18,AUTHOR,https://www.wikidata.org/wiki/Q482980,5.0,"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",DIGITAL,,sym,midi,https://www.wikidata.org/wiki/Q10610388,['Son io donna (2) qual mostri ogni tuo bene'],,Lorenzo Strozzi,https://www.wikidata.org/wiki/Q61131269
5.0,False,7.0,10.0,2714432.0,https://www.wikidata.org/wiki/Q4692,Renaissance,Madrigal,https://www.wikidata.org/wiki/Q193217,https://db.simssa.ca/files/19,AUTHOR,https://www.wikidata.org/wiki/Q482980,5.0,"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",DIGITAL,,sym,pdf,https://www.wikidata.org/wiki/Q42332,['Son io donna (2) qual mostri ogni tuo bene'],,Lorenzo Strozzi,https://www.wikidata.org/wiki/Q61131269
5.0,False,7.0,10.0,2714432.0,https://www.wikidata.org/wiki/Q4692,Renaissance,Madrigal,https://www.wikidata.org/wiki/Q193217,https://db.simssa.ca/files/20,AUTHOR,https://www.wikidata.org/wiki/Q482980,5.0,"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",DIGITAL,,sym,sibelius,https://www.wikidata.org/wiki/Q27967347,['Son io donna (2) qual mostri ogni tuo bene'],,Lorenzo Strozzi,https://www.wikidata.org/wiki/Q61131269
5.0,False,7.0,10.0,2714432.0,https://www.wikidata.org/wiki/Q4692,Renaissance,Madrigal,https://www.wikidata.org/wiki/Q193217,https://db.simssa.ca/files/17,AUTHOR,https://www.wikidata.org/wiki/Q482980,5.0,"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",DIGITAL,,sym,xml,https://www.wikidata.org/wiki/Q2115,['Son io donna (2) qual mostri ogni tuo bene'],,Lorenzo Strozzi,https://www.wikidata.org/wiki/Q61131269
6.0,False,8.0,11.0,76504834.0,https://www.wikidata.org/wiki/Q4692,Renaissance,Madrigal,https://www.wikidata.org/wiki/Q193217,https://db.simssa.ca/files/22,COMPOSER,https://www.wikidata.org/wiki/Q36834,6.0,"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",DIGITAL,,sym,midi,https://www.wikidata.org/wiki/Q10610388,['Nella stagion che’l ciel rapido inchina'],,Bernardo Pisano,https://www.wikidata.org/wiki/Q2920493
